ticker,company,country,region,industry_group,material_link,why_relevant
ATI,ATI Inc.,United States,North America,Specialty alloys,Titanium / nickel / aerospace / AM powder feedstock,Specialty alloys and aerospace-material exposure
GE,GE Aerospace,United States,North America,Aerospace,Jet engines / superalloys / titanium,Engine cycle and superalloy demand
BA,Boeing,United States,North America,Aerospace,Aircraft / aluminum / titanium / supply chain,Aircraft build-rate and supply-chain risk
RTX,RTX,United States,North America,Aerospace and defense,Engines / missiles / defense electronics,Defense and aerospace material demand
LMT,Lockheed Martin,United States,North America,Defense,Defense procurement / rare earths / titanium,Defense procurement and strategic materials
NOC,Northrop Grumman,United States,North America,Defense,Defense electronics / composites / rare earths,Defense electronics and aerospace
GD,General Dynamics,United States,North America,Defense,Steel / aluminum / defense systems,Defense and shipbuilding
HWM,Howmet Aerospace,United States,North America,Aerospace materials,Titanium / nickel / aerospace forgings,Aerospace components and engine materials
NUE,Nucor,United States,North America,Steel,Steel / scrap / construction,Steel cycle and industrial demand
STLD,Steel Dynamics,United States,North America,Steel,Steel / scrap / construction,Steel and construction cycle
AA,Alcoa,United States,North America,Aluminum,Aluminum / smelting power cost,Power-sensitive aluminum producer
FCX,Freeport-McMoRan,United States,North America,Copper mining,Copper supply and demand,Copper producer
CAT,Caterpillar,United States,North America,Machinery,Mining equipment / steel / industrial capex,Mining and industrial capex
DE,Deere,United States,North America,Machinery,Steel / agriculture / industrial capex,Industrial machinery and steel exposure
HON,Honeywell,United States,North America,Industrial / aerospace,Aerospace systems / automation,Aerospace and industrial cycle
MMM,3M,United States,North America,Industrial materials,Chemicals / industrial materials,Industrial inputs
DDD,3D Systems,United States,North America,Additive manufacturing,AM systems / polymers / metal printing,Additive manufacturing pure-play
SSYS,Stratasys,United States,North America,Additive manufacturing,AM systems / industrial printing,Additive manufacturing equipment
VLD,Velo3D,United States,North America,Additive manufacturing,Metal LPBF / aerospace,Metal AM systems
MTLS,Materialise,Belgium,Europe,Additive manufacturing,AM software / medical / aerospace,AM software and services
AIR.PA,Airbus,France,Europe,Aerospace,Aircraft / aluminum / titanium,Aircraft build-rate exposure
SAF.PA,Safran,France,Europe,Aerospace,Jet engines / nickel / titanium,Engine and aerospace supply chain
HO.PA,Thales,France,Europe,Defense electronics,Rare earths / semiconductors / defense,Defense electronics
DG.PA,Vinci,France,Europe,Infrastructure,Steel / cement / energy,Infrastructure demand
SU.PA,Schneider Electric,France,Europe,Electrical equipment,Copper / electrification / automation,Electrification and grid equipment
ACA.PA,Air Liquide,France,Europe,Industrial gases,Hydrogen / process gases / energy,Industrial gas and process energy
RR.L,Rolls-Royce,United Kingdom,Europe,Aerospace,Jet engines / nickel superalloys,Engine cycle and superalloys
BA.L,BAE Systems,United Kingdom,Europe,Defense,Defense systems / rare earths,Defense procurement
RIO.L,Rio Tinto,United Kingdom,Europe,Mining,Iron ore / aluminum / copper,Diversified mining
GLEN.L,Glencore,United Kingdom,Europe,Mining and trading,Copper / cobalt / coal,Commodity supply and trading
AAL.L,Anglo American,United Kingdom,Europe,Mining,Copper / platinum / iron ore,Diversified mining
ANTO.L,Antofagasta,United Kingdom,Europe,Copper mining,Copper / Chile supply,Copper producer
RHM.DE,Rheinmetall,Germany,Europe,Defense,Munitions / steel / defense procurement,Defense procurement
SIE.DE,Siemens,Germany,Europe,Industrial automation,Electrification / copper / automation,Grid and industrial automation
BAS.DE,BASF,Germany,Europe,Chemicals,Natural gas / feedstock / chemicals,Energy and feedstock exposure
VOW3.DE,Volkswagen,Germany,Europe,Autos,Steel / aluminum / batteries,Auto and battery chain
MBG.DE,Mercedes-Benz,Germany,Europe,Autos,Steel / aluminum / batteries,Premium autos and battery materials
