ticker,company,country,region,industry_group,material_link,why_relevant,primary_exposure,secondary_exposure,notes
CAT,Caterpillar,United States,North America,Heavy machinery,"mining, construction, energy",Mining equipment and industrial cycle proxy,steel_chain,energy,large industrial machinery
DE,Deere & Company,United States,North America,Machinery,"agriculture, steel, industrial cycle",Agricultural machinery and industrial demand proxy,steel_chain,macro_beta,manufacturing cycle
GE,GE Aerospace,United States,North America,Aerospace,"aerospace, titanium, nickel, defense",Aerospace engine/materials demand proxy,aerospace,nickel,jet-engine supply chain
RTX,RTX Corporation,United States,North America,Aerospace/Defense,"defense, titanium, rare earths",Defense/aerospace systems and supply-chain proxy,defense,aerospace,defense procurement
LMT,Lockheed Martin,United States,North America,Defense,"defense, rare earths, titanium",Defense spending and strategic materials proxy,defense,rare_earths,missiles/aircraft systems
BA,Boeing,United States,North America,Aerospace,"aerospace, aluminum, titanium",Aircraft production and aerospace materials proxy,aerospace,aluminum,commercial aerospace
NUE,Nucor,United States,North America,Steel,"steel, scrap, construction",US steel-cycle proxy,steel_chain,energy,steel producer
AA,Alcoa,United States,North America,Aluminum,"aluminum, energy",Aluminum and smelting power-cost proxy,aluminum,energy,primary aluminum
FCX,Freeport-McMoRan,United States,North America,Copper mining,"copper, molybdenum",Large copper producer proxy,copper,macro_beta,copper supply/demand
HON,Honeywell,United States,North America,Industrial/Aerospace,"aerospace, industrial automation",Industrial/aerospace system proxy,aerospace,macro_beta,diversified industrial
TECK,Teck Resources,Canada,North America,Mining,"copper, zinc, coal",Diversified base-metals and coal producer,copper,coal,mining cycle
CCJ,Cameco,Canada,North America,Uranium,"uranium, nuclear fuel",Uranium/nuclear fuel-cycle proxy,uranium,energy,energy security
ABX.TO,Barrick Gold,Canada,North America,Gold mining,"gold, copper",Gold and geopolitical stress proxy,gold,copper,precious metals
FM.TO,First Quantum Minerals,Canada,North America,Copper mining,copper,Copper producer with high cycle sensitivity,copper,geopolitical_sensitivity,copper mines
LAC,Lithium Americas,Canada,North America,Lithium,"lithium, battery materials",Lithium/battery supply-chain proxy,battery,geopolitical_sensitivity,battery materials
MGA,Magna International,Canada,North America,Auto parts,"autos, aluminum, steel",Automotive manufacturing cycle proxy,steel_chain,aluminum,auto supply chain
BBD-B.TO,Bombardier,Canada,North America,Aerospace,"aerospace, aluminum, titanium",Business-jet/aerospace supply-chain proxy,aerospace,aluminum,aircraft manufacturing
VALE,Vale,Brazil,Latin America,Iron ore/mining,"iron ore, nickel",Iron ore and nickel producer proxy,steel_chain,nickel,Brazil mining
PBR,Petrobras,Brazil,Latin America,Energy,"oil, fuel, gas",Oil/fuel and emerging-market energy proxy,energy,geopolitical_sensitivity,oil producer
GGB,Gerdau,Brazil,Latin America,Steel,"steel, construction",Steel and infrastructure proxy,steel_chain,macro_beta,steel producer
SID,Companhia Siderurgica Nacional,Brazil,Latin America,Steel/mining,"steel, iron ore",Brazil steel/iron ore chain proxy,steel_chain,energy,integrated steel
ERJ,Embraer,Brazil,Latin America,Aerospace,"aerospace, aluminum, defense",Aircraft and defense/aerospace proxy,aerospace,defense,regional aircraft
WEGE3.SA,WEG,Brazil,Latin America,Electrical equipment,"motors, electrification, copper",Industrial electrification proxy,copper,macro_beta,motors and automation
RIO.L,Rio Tinto,United Kingdom,Europe,Mining,"iron ore, aluminum, copper, lithium",Global mining/materials proxy,steel_chain,aluminum,diversified mining
GLEN.L,Glencore,United Kingdom,Europe,Mining/trading,"copper, zinc, coal, cobalt",Commodity trading/mining proxy,copper,coal,critical materials
BA.L,BAE Systems,United Kingdom,Europe,Defense,"defense, aerospace, rare earths",Defense spending and strategic materials proxy,defense,rare_earths,defense systems
RR.L,Rolls-Royce Holdings,United Kingdom,Europe,Aerospace,"jet engines, nickel, titanium",Jet-engine/aerospace materials proxy,aerospace,nickel,turbines
AAL.L,Anglo American,United Kingdom,Europe,Mining,"copper, platinum, iron ore",Diversified mining and PGM exposure,copper,precious_industrial,mining
ANTO.L,Antofagasta,United Kingdom,Europe,Copper mining,copper,Copper mining proxy,copper,macro_beta,Chile copper
